Course,Name,Description,Notes,Prerequisites,Corequisites,Antirequisites
ACTSC423,"Topics in Financial Econometrics","This course introduces the use of advanced econometric/statistical methods in studying financial market data, and in quantitatively assessing risks associated with financial investments. The methods presented in this course are tailored to address specific issues of interest in finance, such as the quantification of the risk-return tradeoff, the modelling of time-varying stock/bond market volatility and, possibly, also the statistical analysis of financial derivatives such as options. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times.]","Prereq: One of AFM 323/STAT 374, STAT 331, STAT 371, STAT 373","",""
ACTSC431,"Casualty and Health Insurance Mathematics 2","Aggregate loss and payment models: properties, analytic results, convolution-type methods, recursive methods, inversion-type methods, and simulation; advanced aggregate claims models; reinsurance; applications to insurance pricing; insurance pricing using generalized linear models.  [Offered: F,S]","","Prereq: ACTSC 363 with a grade of at least 60%; STAT 330; One of STAT 331, 371, 373. Actuarial Science or Mathematical Finance students only","",""
ACTSC432,"Credibility and Risk Theory","Credibility theory: American credibility, Bayesian, Bühlmann, Bühlmann-Straub, and empirical Bayes parameter estimation. Risk theory: claim arrival dynamics, surplus models, first-passage times, applications to solvency, and their analytical and numerical analyses. [Offered: F,S]","","Prereq: ACTSC 363, STAT 330, STAT 333; Actuarial Science or Mathematical Finance students only","",""
ACTSC445,"Quantitative Enterprise Risk Management","This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks. Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation, and regulation of financial institutions. [Offered: F,S]","","Prereq: (AFM 275/AFM 372/ACTSC 391 or (ACTSC 231, 371) or ACTSC 372 or BUS 393W),((STAT 330,333) or STAT 334); ACTSC, Math/FARM, Math Fin students only.","","Antireq: AFM 422, MATBUS 472, BUS 433W, BUS 439W"
ACTSC446,"Mathematics of Financial Markets","This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad areas: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; Fundamental Theorems of Asset Pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Itôs lemma; Black-Scholes model; interest rate models and bond pricing). [Offered: F,W]","","Prereq: (AFM 275/AFM 372/ACTSC 391 or (ACTSC 231, 371) or ACTSC 372 or BUS 393W), (STAT 333 or 334); ACTSC, Math/FARM, Math Fin, STAT students only.","","Antireq: AFM 322, BUS 423W, ECON 372, MATBUS 470"
ACTSC453,"Basic Pension Mathematics","Theory and practice of pension plan funding. Assumptions, basic actuarial functions, and population theory applied to private pensions. Concepts of normal costs, supplemental liability, unfunded liability arising from individual accrued benefit, and projected benefit cost methods.","","Prereq: ACTSC 331; Actuarial Science or Mathematical Finance students only","",""
ACTSC454,"Longevity and Mortality Using Predictive Analytics","Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models, including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd. [Offered: W]","","Prereq: ACTSC 331, STAT 330; Actuarial Science or Mathematical Finance students only","",""
ACTSC455,"Life Contingencies 3","Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits.","","Prereq: ACTSC 331 with a grade of at least 60%; Actuarial Science or Mathematical Finance students only.","Coreq: ACTSC 446",""
ACTSC468,"Readings in Actuarial Science 1","Reading course as announced by the department.","","Prereq: Actuarial Science or Mathematical Finance students only","",""
ACTSC469,"Readings in Actuarial Science 2","Reading course as announced by the department.","","Prereq: Actuarial Science or Mathematical Finance students only","",""
ACTSC471,"Corporate Financial Decision Making","This is the second course of a two-course sequence that deals with corporate financial decision making. The course builds on the theory of financial management using cases to illustrate a variety of corporate financial decisions. Where suitable, topics are treated from a mathematical and quantitative perspective.","","Prereq: AFM 275/AFM 372/ACTSC 391 or ACTSC 372; Comp & Financial Management, Actuarial Science, Math/CPA, Math/Financial Analysis & Risk Mgmt Chartered Financial Analyst, or Mathematical Finance.","","Antireq: AFM 373"
ACTSC489,"Advanced Topics in Actuarial Science","Advanced topics course as announced by the department. Topics and term offerings will vary.","Department Consent Required","Prereq: Level at least 3B; Actuarial Science or Mathematical Finance students only.","",""
AFM100,"Introduction to Experiential Learning","The objective of this non-credit course is to expose students to the expectations for experiential learning, helping them develop the skills and relationships needed to allocate their time and maintain balance across their academics, career, health and wellness, and community.","","Prereq: First-year Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Accountancy students","",""
AFM101,"Introduction to Financial Accounting","This course is an introduction to financial accounting. The preparation and use of financial statements is examined. The accounting cycle and assets and liabilities reporting, is discussed.","","Prereq: Not open to students in AFM, Mathematics/CPA, Biotechnology/CPA, CFM, Arts and Business, Environment and Business, Science and Business, or Human Resources Management.","","Antireq: AFM 123/ARBUS 102, AFM 191, BUS 127W/227W, MSCI 262"
AFM102,"Introduction to Managerial Accounting","This course is an introduction to the preparation and use of accounting information for management decision-making and reporting. Cost behaviour, cost accumulation systems, and short- and long-term decision models are discussed.","","Prereq: AFM 101, AFM 191, or BUS 127W/227W.","","Antireq: AFM 182, AFM 123/ARBUS 102, BUS 247W, MSCI 262"
AFM111,"Professional Pathways and Problem-Solving","This course assists students in developing the knowledge, skills, and values needed to manage their learning, ethical behaviour, and career path as a professional with a responsibility to society. The course also provides an opportunity to develop problem-solving, information literacy, and communication skills.","","Prereq: Level 1A Accounting and Financial Management, Computing and Financial Management, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
AFM112,"Analytic Methods for Business 1","This course introduces analytical methods commonly used in business for accounting and finance professionals. The course introduces students to the cross-industry standard process for data mining as an approach to business problem recognition and solving. Students also apply emerging technologies as a means to understand concepts such as variables, data types, subsets, formulas for creating derived variables, and simple models.","","Prereq: Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
AFM113,"Analytic Methods for Business 2","This is the second in a two-course sequence that introduces analytical and statistical methods commonly used in business for accounting and finance professionals.","","Prereq: AFM 112; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, or Sustainability and Financial Management students.","","Antireq: AMATH 350, MATH 128, STAT 211"
AFM121,"Introduction to Global Financial Markets","This course is the first in a two-course sequence which offers an overview of global capital markets. The course describes the role of finance in the modern global economy, introduces the major classes of financial assets, and presents some basic foundational principles of financial decision-making.","","Prereq: Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy or Sustainability and Financial Management students.","","Antireq: AFM 127/ACTSC 127, CFM 101, COMM 101"
AFM123,"Accounting Information for Managers","This course is designed for non-accountants who will use accounting information for planning, control, and decision-making.","","Prereq: Arts & Business, Environment & Business, Sci & Business, Hon Rec & Leisure Studies, Hon Rec & Business, Hon Biotechnology/Economics, Human Resources Management, or Management Studies stdnts.","","Antireq: AFM 101,102,121, BUS 127W/227W,247W, MSCI 262"
AFM127,"Introduction to Global Capital Markets and Financial Analytics","This course introduces financial markets and institutions, examining the role of finance in the global economy while introducing foundational principles of financial decision making. The course utilizes analytic and computational approaches to the topics, enabling students to develop data management and analysis competencies.","","Prereq: CS 115 or CS 135; Accounting and Financial Management or Mathematics/Chartered Professional Accountancy students.","","Antireq: CFM 101, AFM 121"
AFM131,"Introduction to Business in North America","The functional areas of business: finance, personnel administration, production, marketing, and accounting are examined within differing organizational structures. Coverage also includes study of the principles of effective management and the financial system as a source of corporate capital.","","Prereq: Not open to Arts and Business students.","","Antireq: AFM 132, BUS 111W"
AFM132,"Introduction to Business Stages","This course introduces key business concepts required to provide a solid foundation for accounting and finance majors. Topics include business life cycle stages, business models, and types of business decisions.","","Prereq: Accounting and Financial Management, Computing and Financial Management, and Mathematics/Chartered Professional Accounting students.","","Antireq: AFM 131, BUS 111W"
AFM182,"Foundations for Management Accounting","This course continues the development of skills introduced in the foundational financial reporting course, with a greater focus on foundational analysis and forecasting, and expands the stakeholder context to public company stakeholders. The course enhances problem-solving skills through a problem-based learning delivery model.","","Prereq: AFM 191; Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students.","","Antireq: AFM 102, AFM 123/ARBUS 102, BUS 247W, MSCI 262"
AFM191,"Foundations for Financial Reporting","This course is a foundation for the practice of financial reporting. Students prepare financial statements and other financial reports designed to meet the needs of internal and external stakeholders of private companies. Students perform introductory financial analysis to inform business decisions and solve business problems considering the appropriate business context. The course develops problem-solving skills through a problem-based learning delivery model.","","Prereq: Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students.","","Antireq: AFM 101, AFM 123/ARBUS 102, BUS 127W/227W, MSCI 262"
AFM200,"Continuation of Experiential Learning","The objective of this non-credit course is to continue to expose students to the expectations for experiential learning, and help them to continue to develop the skills and relationships needed to allocate their time and maintain balance across their academics, career, health and wellness, and community.","","Prereq: AFM 100; second-year Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Accountancy students","",""
AFM205,"Introduction to Financial Services","This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first or second co-op work term. The course covers topics such as an overview of the financial services industry, professional ethics, and problem-solving skills that are applicable to financial decisions.","","Prereq: AFM 121 or AFM 272/ACTSC 291; Level at least 2A Accounting and Financial Management, Biotechnology/CPA, Mathematics/CPA, or Sustainability and Financial Management students.","","Antireq: AFM 204"
AFM206,"Introduction to Tax","This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first co-op work term. Topic areas for this course include tax law, professional ethics, and leveraging technology for taxation competencies.","","Prereq: AFM 191; Level 2A Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students.","Coreq: AFM 205, 207, 208.","Antireq: AFM 202"
AFM207,"Introduction to Performance Analytics","This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first or second co-op work term. Topic areas for this course include performance measurement, professional ethics, and leveraging technology for performance analytics.","","Prereq: One of AFM 113, ECON 221, STAT 211, 231, 241; Level at least 2A Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students","",""
AFM208,"Introduction to Assurance","This course is one of a set of courses that focuses on the knowledge and skills that enhance experiential learning during a first co-op work term. Topic areas for this course include assurance, professional ethics, and leveraging technology for assurance competencies.","","Prereq: AFM 191; Level at least 2A Accounting and Financial Management, Biotechnology/CPA, Mathematics/CPA, or Sustainability and Financial Management students.","Coreq: AFM 205, 206, 207.","Antireq: AFM 202"
AFM212,"Financial Analysis and Planning","This course develops an in-depth understanding of financial statements as a system for analysis and planning as a foundation for upper-year accounting and finance courses.","","Prereq: AFM 101 or AFM 191; Level 2A Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, or Biotechnology/Chartered Professional Accountancy students.","","Antireq: AFM 211"
AFM231,"Business Law","Particular attention is given to the law relating to contracts and business organizations. Other areas of study include sources of law, the judicial process, real and personal property, torts, agency, credit, and negotiable instruments.","","Prereq: Not open to Accounting and Financial Management,Mathematics/Chartered Professional Accountancy or Biotechnology/Chartered Professional Accountancy students.","","Antireq: AFM 335, MTHEL 100/COMM 231,BUS 231W, CIVE 491, GENE 411, ME 401"
AFM241,"Impact of Technology on Business","This is an introductory course focusing both on foundational concepts and emerging trends in the impacts and usage of technology in accounting and finance. Potential topics include strategic investment, planning and spending for technology in businesses, and current disruptive technologies impacting global business processes.","","Prereq: AFM 102 or AFM 182; Level at least 2B Accounting and Financial Management, Mathematics/Chartered Professional Accountancy, Biotechnology/Chartered Professional Accountancy students.","","Antireq: CS 330, 480/490"
AFM244,"Analytic Methods for Business 3","This course introduces students to the foundations needed for data mining and more advanced upper-year business analytics electives. Topics include regression analysis, classification analysis (e.g., logistic regression, decision trees), and clustering analysis.","","Prereq: One of AFM 113, ECON 221, STAT 211, STAT 231, STAT 241; Level at least 2B Accounting and Financial Management, Biotechnology/CPA, Mathematics/CPA, or Sustainability and Financial Management students.","","Antireq: AFM 415 fall 2017,fall 2018,fall 2019"
AFM272,"Global Capital Markets and Financial Analytics","This course offers an overview of global capital markets and asset valuation. Topics may include an overview of financial markets and instruments, time value of money, valuation of financial assets, and financial risk and portfolio management. The course utilizes an analytic and computational approach to the topics, enabling students to develop data management and analysis competencies.","","Prereq: CFM 101 or AFM 127/ACTSC 127; Accounting and Financial Management, Computing and Financial Management, or Mathematics/Chartered Professional Accountancy students.","","Antireq: AFM 273, ACTSC 372, ECON 371"
AFM273,"Financial Instruments and Capital Markets","This course is the second in a two-course sequence which offers an overview of global capital markets. The course focuses on valuation of financial instruments and the theories of financial risk and diversification.","","Prereq: AFM 121 or AFM 127/ACTSC 127; AFM 113 or STAT 211; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, or Sustainability and Financial Management students.","","Antireq: AFM 272/ACTSC 291, ECON 371"
AFM274,"Introduction to Corporate Finance","This course is the first in a two-course sequence that deals with corporate financial decision-making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance.","","Prereq:AFM 272 or AFM 273;Accting & Fin Mgmt,Biotechnology/Chartered Professional Accountancy,Computing&Financial Mgmt,Math/Chartered Professional Accountancy,or Sustainability&Financial Mgmt students","",".Antireq:ACTSC 372,AFM 275/AFM 372/ACTSC 391,ECON 371"
AFM275,"Corporate Finance","This is the first in a two-course sequence that deals with corporate financial decision making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance. Where suitable, topics are treated from a mathematical and quantitative perspective.","","Prereq: AFM 272/ACTSC 291; Computing and Financial Management, Mathematics/Chartered Professional Accountancy students.","","Antireq: AFM 274, AFM 372, ACTSC 372, ECON 371"
AFM276,"Financial Statement Analysis","This course introduces fundamental tools of analysis and valuation to prepare students to research, interpret, and analyze financial statements. The course examines financial reporting from the perspective of the financial statement user with an emphasis on interpretation of financial disclosures for cash flow analysis, risk assessment, forecasting, and decision making. ","[Note: Formerly AFM 492]","Prereq: AFM 191, 272 or 273; Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students.","","Antireq: AFM 492"
AFM280,"Introduction to Organizational Behaviour","An introduction to the concepts concerning the behaviour of individuals and groups in organizations. Topics may include motivation, influence, communication, diversity, goal-setting and incentive compensation, culture and ethical systems, and decision-making.","","Prereq: Accounting and Financial Management, Computing and Financial Management, or Mathematics/Chartered Professional Accountancy students.","","Antireq: MSCI 211, PSYCH 238/338"
AFM291,"Intermediate Financial Accounting 1","A first course in intermediate accounting dealing with the theory and practice of financial statement preparation and reporting. The emphasis will be on asset valuation and the related impact on income measurement.","","Prereq: AFM 101 or AFM 191; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Computing and Financial Management, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
AFM311,"Connections to Ethical Context","This course focuses on developing the qualities and transferable skills necessary for integration, continuous learning, and professional development. The course is oriented around the ethical and moral issues faced by accounting and finance professionals.","","Prereq: AFM 182; Level at least 3B.","","Antireq: AFM 431, PHIL 215/ARBUS 202"
AFM321,"Personal Financial Planning and Taxation","This course integrates financial planning and taxes for individuals. It connects elements of planning, saving, spending, and reporting to budgeting and tax implications, as they evolve over an individuals lifetime.","","Prereq: One of AFM 273 (Biotech/CPA students only), AFM 274, AFM 275","",""
AFM322,"Derivative Securities","Introduction to valuation and applications of financial derivatives such as options, futures, forwards, and swaps.","","Prereq: AFM 272/ACTSC 291 or AFM 273.","","Antireq: ACTSC 446, ECON 372,  MATBUS 470, STAT 446"
AFM323,"Quantitative Foundations for Finance","This course introduces analytical and statistical methods commonly used in finance, with applications to investment management and corporate finance.","","Prereq: AFM 272/ACTSC 291 or AFM 273; Accounting and Financial Management, Mathematics/CPA or Sustainability and Financial Management students.","","Antireq: ECON 321, STAT 321, STAT 331, STAT 371, STAT 373"
AFM324,"Wealth Management","In this course students will learn core wealth management concepts that will give them a greater understanding of the wealth management industry. The content will focus on key areas of wealth management including portfolio management, asset allocation, risk management, performance evaluation, manager selection, tax efficient strategies as well as the use of new technologies in the wealth management industry.","","Prereq: AFM 272/ACTSC 291 or AFM 273; Accounting and Financial Management, Computing and Financial Management, Mathematics/CPA, and Biotechnology/CPA students.","","Antireq: AFM 416 (LEC 002) spring 2018, spring 2019"
AFM326,"Student Venture Fund - Analyst","This course provides students hands-on training in early-stage (angel and venture capital) investing with guidance from industry experts and supervision by faculty. This will generally be the first course that students take when they join the Student Venture Fund team. Analysts will attend investor meetings, assist in market research and specific deal due diligence, and prepare investment proposals. ","[Note: This is a repeatable course, subject to different content; it may be completed a total of two times. Course will be graded on a CR/NCR basis.]","Prereq: Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students.","Coreq: AFM 274 or AFM 275/AFM 372/ACTSC 391",""
AFM328,"Investment Management - Junior Analyst","This course provides students hands-on training in equity valuation and enables students to follow one industry sector. As a junior analyst, a student will understand why funds management is broken into different sectors, monitor existing equity holdings in a particular sector, make new equity selections in the sector, prepare equity research reports, and present trading recommendations to an investment team in a student-run investment portfolio.","Department Consent Required","Prereq: Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students.","Coreq: AFM 274 or AFM 275/AFM 372/ACTSC 391",""
AFM329,"Investment Management - Senior Analyst","This course provides students hands-on training in equity valuation and enables students to follow more than one industry sector. As a senior analyst, a student will monitor existing equity holdings in different sectors, make new equity selections in the sectors, prepare equity research reports, and present trading recommendations to an investment team in a student-run investment portfolio.","Department Consent Required","Prereq: AFM 274 or AFM 275/AFM 372/ACTSC 391; Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students","",""
AFM333,"International Business","This course examines the opportunities, risks, and challenges faced by businesses in international markets, as well as the preparation required to operate them.","","Prereq: AFM 131/ARBUS 101 or AFM 132; Level at least 3A","",""
AFM334,"International Study Experience","This course focuses on offering students insight into the business operations of multinational firms and learning the perspectives of business executives across multiple industries in the private sector. A significant portion of this course involves a short-term international trip where students will directly learn about various companies and the international business environment by actively participating in discussions with company executives about their businesses and government officials about their respective industries. The course will also expose students to a specific topic in the region such as The Impact of Brexit on the Global Financial Community or The Role of Asia in the Global Financial Landscape. ","[Note: Additional costs will apply.]","Prereq: Level at least 2B; Accounting and Fin Management, Computing and Fin Management, Math/Chartered Professional Accountancy, and Biotechnology/Chartered Professional Accountancy students.","","Antireq: AFM 415 taken spring 2017, spring 2018, spring 2019"
AFM335,"Business Law for Financial Managers","This course helps accounting and finance professionals become effective managers and better informed users of legal services. It contributes to developing a solid understanding of the legal and ethical environment in which businesses operate, expands on the legal concepts of business organization and contracts, introduces property and torts law, and integrates legal concepts through the preparation of a legal risk plan.","","Prereq: Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy or Mathematics/Chartered Professional Accountancy.","","Antireq: AFM 231/LS 283, MTHEL 100/COMM 231, ENVS 201, BUS 231W, ME 401, GENE 411, CIVE 491"
AFM341,"Accounting Information Systems","Examines the planning, requirements analysis, acquisition, and evaluation of information systems, with an emphasis on accounting information systems.  Introduces information systems assurance concepts, and considers the role of information technology in the improvement of business performance.","","Prereq: Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students.","","Antireq: CS 432"
AFM345,"Business Applications of Social Media Analytics","This course reinforces the data analytics process, introducing applications that leverage tools such as text analytics and sentiment analysis to analyze content from social networks to address business problems.","","Prereq: AFM 244. Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",".Antireq: AFM 415 (LEC 042) taken spring 2021"
AFM346,"Applications of Predictive Analytics in Accounting and Finance","This course introduces applications of classification/prediction methods and machine learning used in accounting and finance settings. Samples include bankruptcy prediction, fraud detection, and loan default.","","Prereq: AFM 244; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
AFM347,"Cybersecurity","This course explores emerging issues related to cybersecurity management, governance, and control, which pose significant challenges to organizations in a networked environment. The course focuses on cybersecurity risks and investigates how companies can more effectively protect their digital assets from both internal and external threats.","","Prereq: Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
AFM362,"Corporate Taxation","This course examines the foundational concepts in the calculation of different sources of income and their taxation in Canadian corporations.","","Prereq: AFM 321; Level at least 3A Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students","",""
AFM363,"Taxation 2 - Integration","This course builds on the foundational concepts established in AFM 362 by exploring the taxation of individuals and corporations in more depth.","","Prereq: AFM 362; Accounting and Financial Management, Computing and Financial Management, Biotechnology/Chartered Professional Accountancy, or Mathematics/Chartered Professional Accountancy students","",""
AFM373,"Cases and Applications in Corporate Finance","This course builds on the theory of financial management using cases to illustrate a variety of corporate financial decisions.","","Prereq: AFM 274orAFM 275/AFM 372/ACTSC 391; Accounting and Financial Mgmt,Biotechnology/Chartered Profl Accountancy,Computing and Financial Mgmt,Math/Chartered Profl Accountancy,or Sustainability and Financial Mgmt students.","","Antireq:AFM 476/ACTSC471"
AFM377,"Private Equity and Venture Capital","This course explores the fundamentals of the private equity industry. Topics include raising capital, structuring deals, creating a leveraged buyout model (LBO), and unlocking value through various strategies.","","Prereq: AFM 274 or AFM 275/AFM 372/ACTSC 391.","","Antireq: AFM 416 taken spring 2015, spring 2016, or spring 2017"
AFM382,"Cost Management Systems","Consideration of more complex topics in management planning and control. Emphasis is on traditional and contemporary cost accumulation systems and their application in modern day organizations. Cases, simulations, projects, and presentations are the key instructional methods used to understand and integrate the course material. At the end of the course, students will have a solid understanding of how the correct choice of a costing model adds value to the organization. ","[Note: Formerly AFM 481]","Prereq: AFM 102 or AFM 191; Accounting and Financial Management, Biotechnology/CPA, Computing and Financial Management, Mathematics/CPA, or Sustainability and Financial Management students.","","Antireq: AFM 481"
AFM391,"Intermediate Financial Accounting 2","This is an intermediate financial accounting course that deals with problems related to the measurement of liabilities, measurement of income, and the reporting and measuring of corporate equities.","","Prereq: AFM 291; Accounting and Financial Management, Biotechnology/Chartered Professional Accountancy, Computing and Financial Management, Mathematics/Chartered Professional Accountancy, or Sustainability and Financial Management students","",""
