Course,Code,Name
CS, 247, Software Engineering Principles
CS, 251, Computer Organization and Design
CS, 251, Computer Organization and Design (Enriched)
CS, 330, Management Information Systems
CS, 335, Computational Methods in Business and Finance
CS, 338, Computer Applications in Business: Databases
CS, 341, Algorithms
CS, 343, Concurrent and Parallel Programming
CS, 346, Application Development
CS, 348, Introduction to Database Management
CS, 349, User Interfaces
CS, 350, Operating Systems
CS, 360, Introduction to the Theory of Computing
CS, 365, Models of Computation
CS, 370, Numerical Computation
CS, 371, Introduction to Computational Mathematics
CS, 383, Computational Digital Art Studio
CS, 398, Topics in Computer Science
CS, 399, Readings in Computer Science
CS, 430, Applications Software Engineering
CS, 431, Data-Intensive Distributed Analytics
CS, 436, Networks and Distributed Computer Systems
CS, 442, Principles of Programming Languages
CS, 444, Compiler Construction
CS, 445, Software Requirements Specification and Analysis
CS, 446, Software Design and Architectures
CS, 447, Software Testing Quality Assurance and Maintenance
CS, 448, Database Systems Implementation
CS, 449, Human-Computer Interaction
CS, 450, Computer Architecture
CS, 451, Data-Intensive Distributed Computing
CS, 452, Real-time Programming
CS, 454, Distributed Systems
CS, 456, Computer Networks
CS, 457, System Performance Evaluation
CS, 458, Computer Security and Privacy
CS, 462, Formal Languages and Parsing
CS, 466, Algorithm Design and Analysis
CS, 467, Introduction to Quantum Information Processing
CS, 475, Computational Linear Algebra
CS, 476, Numeric Computation for Financial Modeling
CS, 479, Neural Networks
CS, 480, Introduction to Machine Learning
CS, 482, Computational Techniques in Biological Sequence Analysis
CS, 484, Computational Vision
CS, 485, Statistical and Computational Foundations of Machine Learning
CS, 486, Introduction to Artificial Intelligence
CS, 487, Introduction to Symbolic Computation
CS, 488, Introduction to Computer Graphics
CS, 489, Advanced Topics in Computer Science
CS, 490, Information Systems Management
CS, 492, The Social Implications of Computing
CS, 493, Team Project 1
CS, 494, Team Project 2
CS, 497, Multidisciplinary Studies in Computer Science
CS, 499, Readings in Computer Science
CS, 499, Honours Thesis
MATBUS, 371, Introduction to Corporate Finance
MATBUS, 470, Derivatives
MATBUS, 471, Fixed Income Securities
MATBUS, 472, Risk Management
PMATH, 320, Euclidean Geometry
PMATH, 321, Non-Euclidean Geometry
PMATH, 330, Introduction to Mathematical Logic
PMATH, 331, Applied Real Analysis
PMATH, 332, Applied Complex Analysis
PMATH, 333, Introduction to Real Analysis
PMATH, 334, Introduction to Rings and Fields with Applications
PMATH, 336, Introduction to Group Theory with Applications
PMATH, 340, Elementary Number Theory
PMATH, 343, Introduction to the Mathematics of Quantum Information
PMATH, 347, Groups and Rings
PMATH, 348, Fields and Galois Theory
PMATH, 351, Real Analysis
PMATH, 352, Complex Analysis
PMATH, 365, Differential Geometry
PMATH, 370, Chaos and Fractals
PMATH, 399, Readings in Pure Mathematics
PMATH, 432, First Order Logic and Computability
PMATH, 433, Model Theory and Set Theory
PMATH, 440, Analytic Number Theory
PMATH, 441, Algebraic Number Theory
PMATH, 445, Representations of Finite Groups
PMATH, 446, Introduction to Commutative Algebra
PMATH, 450, Lebesgue Integration and Fourier Analysis
PMATH, 451, Measure and Integration
PMATH, 453, Functional Analysis
PMATH, 464, Introduction to Algebraic Geometry
PMATH, 465, Smooth Manifolds
PMATH, 467, Algebraic Topology
PMATH, 499, Readings in Pure Mathematics
STAT, 202, Introductory Statistics for Scientists
STAT, 206, Statistics for Software Engineering
STAT, 211, Introductory Statistics and Sampling for Accounting
STAT, 220, Probability (Non-Specialist Level)
STAT, 221, Statistics (Non-Specialist Level)
STAT, 230, Probability
STAT, 231, Statistics
STAT, 240, Probability (Advanced Level)
STAT, 241, Statistics (Advanced Level)
STAT, 316, Introduction to Statistical Problem Solving
STAT, 321, Regression and Forecasting (Non-Specialist Level)
STAT, 322, Sampling and Experimental Design (Non-Specialist Level)
STAT, 330, Mathematical Statistics
STAT, 331, Applied Linear Models
STAT, 332, Sampling and Experimental Design
STAT, 333, Stochastic Processes 1
STAT, 334, Probability Models for Business and Accounting
STAT, 337, Introduction to Biostatistics
STAT, 340, Stochastic Simulation Methods
STAT, 341, Computational Statistics and Data Analysis
STAT, 371, Applied Linear Models and Process Improvement for Business
STAT, 372, Survey Sampling and Experimental Design Techniques for Business
STAT, 373, Regression and Forecasting Methods in Finance
STAT, 430, Experimental Design
STAT, 431, Generalized Linear Models and their Applications
STAT, 433, Stochastic Processes 2
STAT, 435, Statistical Methods for Process Improvements
STAT, 436, Introduction to the Analysis of Spatial Data in Health Research
STAT, 437, Statistical Methods for Life History Analysis
STAT, 438, Advanced Methods in Biostatistics
STAT, 440, Computational Inference
STAT, 441, Statistical Learning - Classification
STAT, 442, Data Visualization
STAT, 443, Forecasting
STAT, 444, Statistical Learning - Advanced Regression
STAT, 450, Estimation and Hypothesis Testing
STAT, 454, Sampling Theory and Practice
STAT, 464, Topics in Probability Theory
STAT, 466, Topics in Statistics 1
STAT, 467, Topics in Statistics 2
STAT, 468, Readings in Statistics 1
STAT, 469, Readings in Statistics 2
